,batt.p,batt.e,batt.de,batt.dp,batt.pd,batt.pc,batt.u,batt.abs_p,mg.p,mg.pout,mg.pin,mg.u,ps.scale_fact,ps.p_scaled,arc3_expanded.f,arc1_expanded.f,arc2_expanded.f,int,batt.soc,batt.inst_cost,mg.instant_cost,inst_obj
2018-04-01 21:15:00+02:00,1.0596071428571425,1.5798035714285683,-0.00029433531746031737,0.0,1.0596071428571425,0.0,1.0,0.0,1.8103928571428576,1.8103928571428576,0.0,1.0,10,0.0,0.0,1.8103928571428576,1.0596071428571425,15.366518933245455,7.522874149659849,0.0,6.683366964285716e-05,6.683366964285716e-05
2018-04-01 21:30:00+02:00,1.0596071428571423,1.3149017857142828,-0.0002943353174603173,-2.168404344971009e-19,1.0596071428571423,0.0,1.0,0.0,1.6903928571428577,1.6903928571428577,0.0,1.0,10,0.0,0.0,1.6903928571428577,1.0596071428571423,15.366518933245455,6.261437074829918,0.0,6.240366964285716e-05,6.240366964285716e-05
2018-04-01 21:45:00+02:00,1.0596071428571423,1.0499999999999972,-0.0002943353174603173,0.0,1.0596071428571423,0.0,1.0,0.0,1.7503928571428577,1.7503928571428577,0.0,1.0,10,0.0,0.0,1.7503928571428577,1.0596071428571423,15.366518933245455,4.999999999999986,0.0,6.461866964285717e-05,6.461866964285717e-05
2018-04-01 22:00:00+02:00,0.0,1.0499999999999972,0.0,-0.0011773412698412693,0.0,0.0,-0.0,0.0011773412698412693,2.87,2.87,0.0,1.0,10,0.0,0.0,2.87,0.0,15.366518933245455,4.999999999999986,3.270392416225748e-07,0.00010595083333333333,0.00010595083333333333
2018-04-01 22:15:00+02:00,-2.438709677419355,1.6596774193548358,0.0006774193548387097,-0.002709677419354839,0.0,2.438709677419355,-0.0,0.002709677419354839,5.293709677419355,5.293709677419355,0.0,1.0,10,0.0,0.0,5.293709677419355,-2.438709677419355,15.366518933245455,7.903225806451599,7.526881720430107e-07,0.0001623404301075269,0.0001623404301075269
2018-04-01 22:30:00+02:00,-2.438709677419355,2.2693548387096745,0.0006774193548387097,0.0,0.0,2.438709677419355,-0.0,0.0,5.278709677419355,5.278709677419355,0.0,1.0,10,0.0,0.0,5.278709677419355,-2.438709677419355,15.366518933245455,10.806451612903212,0.0,0.00016188043010752692,0.00016188043010752692
2018-04-01 22:45:00+02:00,-2.438709677419355,2.8790322580645133,0.0006774193548387097,0.0,0.0,2.438709677419355,-0.0,0.0,5.248709677419355,5.248709677419355,0.0,1.0,10,0.0,0.0,5.248709677419355,-2.438709677419355,15.366518933245455,13.709677419354826,0.0,0.0001609604301075269,0.0001609604301075269
2018-04-01 23:00:00+02:00,-2.438709677419355,3.4887096774193522,0.0006774193548387097,0.0,0.0,2.438709677419355,-0.0,0.0,5.218709677419355,5.218709677419355,0.0,1.0,10,0.0,0.0,5.218709677419355,-2.438709677419355,15.366518933245455,16.612903225806438,0.0,0.0001600404301075269,0.0001600404301075269
2018-04-01 23:15:00+02:00,-2.438709677419355,4.09838709677419,0.0006774193548387097,0.0,0.0,2.438709677419355,-0.0,0.0,5.268709677419356,5.268709677419356,0.0,1.0,10,0.0,0.0,5.268709677419356,-2.438709677419355,15.366518933245455,19.51612903225805,0.0,0.00016157376344086026,0.00016157376344086026
2018-04-01 23:30:00+02:00,-2.438709677419355,4.708064516129029,0.0006774193548387097,0.0,0.0,2.438709677419355,-0.0,0.0,5.3187096774193545,5.3187096774193545,0.0,1.0,10,0.0,0.0,5.3187096774193545,-2.438709677419355,15.366518933245455,22.419354838709662,0.0,0.00016310709677419354,0.00016310709677419354
